C10,Adams Center
E5,Adams Hall
E13,Administration Building (OCCE)
C14,Andrew M. Coats Hall
C6,Anne And Henry Zarrow Hall
E5,Armory (Army & Naval ROTC)
E7,Asp Avenue Parking Facility
D5,Bizzell Memorial Library
D13,Boomer Outreach Building
D2,Boyd House
I6,Brooks Street Transfer Station
E4,Buchanan Hall
B4,Burton Hall
E7,Campus Depot
D4,Carnegie Building
E3,Carpenter Hall
F3,Carson Engineering Center
D8,Cate Center
B3,Catlett Music Center
D3,Chemistry Building
D7,Collings Hall
H7,Collums Commissary
C7,Copeland Hall, Journalism
D11,Couch Restaurants
D11,Couch Center
F12,Cross Center
D7,Dale Hall
C7,Dale Hall Tower
F3,Devon Energy Hall
F8,Dunham Residential College
C5,Ellison Hall
B3,Elm Ave Parking Facility
E4,Engineering Laboratory
D4,Evans Hall, Administration Bldg.
F3,ExxonMobil Lawrence G. RawlPractice Facility
F4,Facilities Management Complex
C6,Farzaneh Hall
I19,Fears Structural Engineering Lab
F3,Felgar Hall
C3,Fine Arts Center, Drama
I21,Five Partners Place
D12,Forum Building (OCCE)
J23,Four Partners Place
C2,Fred Jones Jr. Memorial Art Center
E8,Gaylord Hall
F6,The Gaylord Family Oklahoma Memorial Stadium
D6,George Lynn Cross Hall
B4,Goddard Health Center
E6,Gould Hall
G8,Headington Hall
F8,Headington Residential College
C5,Farzaneh Hall
E10,Housing Offices
F4,Human Resources (NEL Building)
H6,Jacobs Field, Track
D3,Jacobson Hall (Visitor Center)
G9,Jenkins Avenue Parking Facility
K14,Jimmie Austin OU Golf Course
D12,Jim Thorpe Multi-Cultural Center
C6,Kaufman Hall
E16,Kraettli Apartments
F5,Lissa and Cy Wagner Hall
D21,Lloyd Noble Center
D18,L. Dale Mitchell Baseball Park
E12,McCarter Hall (OCCE)
E5,Michael F. Price College of Business
D3,Monnet Hall
I7,Mosier Indoor Athletic Facility
H24,National Weather Center
A2,Newman Hall
D5,Nielsen Hall, Physics
K18 ,Norman Fire Department #3
E4,Nuclear Engineering Laboratory
E9,Observatory
E3,Oklahoma Memorial Union
D2,Old Faculty Club
J24,One Partners Place
K19,OU Police Department (OUPD)
D16,OU Traditions Square East
A18,OU Traditions Square West
G9,Parking Services (Jenkins garage)
C3,Physical Sciences Center
C3,Reynolds Performing Arts Center
D5,Richards Hall, Zoology
C6,Robertson Hall
C3,Rupel J. Jones Theatre, Drama
B15,Sam Noble Oklahoma Museum of Natural History
G3,Sarkey’s Energy Center
F10,Sarkeys Physical Fitness Center
D4,Science Hall
E13,Sells Swim Complex
C12,Sooner Cottage Suites
G21,Stephenson Life Sciences Research Center
G23,Stephenson Research & Technology Center
C4,Sutton Hall
F5,T. Howard McCasland Field House
K20,Theta M. DempseyTransportation Operations Center
I23,Three Partners Place
K24,Two Partners Place
F7,University Book Exchange (Main Store)
D14,University of Oklahoma Foundation
E19,Viersen Gymnastics Center
E10,Walker Tower
D2,Whitehand Hall
