Building Code,Building Name
1SFP,One Santa Fe Plaza (961)
2PP,2 Partners Place (295)
3PP,3 Partners Place (296)
5PP,5 Partners Place (298)
AC,Adams Center Dorm (099)
AH,Adams Hall (050)
APL,Aerospace Propulsion Lab (033)
ARM,Armory (059)
BH,Buchanan Hall (041)
BIOS,Biological Station
BL,Bizzell Library (049)
BSC,Barry Switzer Center (66A)
BURT,Burton Hall (027)
C403,CCE Cottage 403/404 (134)
CARN,Carnegie Building (030)
CCD1,CCD1-Cate Center One (083)
CCD2,CCD2-Cate Center Two (082)
CCD4,CCD4 - Cate Center #4 (091)
CCD5,David L. Boren Hall (087)
CEC,Carson Engineering Center (006)
CH,Carpenter Hall (012)
CHB,Chemistry Building (019)
CHBA,Chemistry Building Annex (019A)
CMC,Catlett Music Center (015)
COH,Copeland Hall (070)
COLM,Collums Building (078)
COMP,COMP WIND TUNNEL (042)
COUCH,Couch Center Dormitory (0108)
CRAD,Craddock Hall (014)
CRSA,Cross Center Building A (116)
CRSD,Cross Center Building D (0131)
CRSM,Cross Center Main Building (0124)
CSKF,Ceramics Studio (236)
DAH,Dale Hall (072)
DAHT,Dale Hall Tower (071)
DEH,Devon Energy Hall (007)
DRC,Dunham Residential College (088)
ECH,Ellsworth Collings Hall (068)
EH,Evans Hall (040)
EL,Engineering Lab (022)
FAC,Fine Arts Center (009)
FARZ,Farzaneh Hall (056)
FH,Felgar Hall (013)
FIH,Field House (052)
FJC,Fred Jones Art Center (005)
FJM,Fred Jones Art Museum (005)
FL,Fears Lab (0226)
FORM,Forum Building (128)
GH,Gould Hall (069)
GHC,Goddard Health Center (038)
GIH,Gittinger Hall (061)
GLCH,George Lynn Cross Hall (062)
GLRD,Gaylord Hall (074)
GTJD,Gomer T. Jones Dormitory (075)
HAS,Hall of Advanced Studies (0122)
HH,Headington Hall (097)
HRC,Headington Residential College (088)
HSC-AH,College of Allied Health
HSC-HL,"HSC, College of Health Building"
HSC-LB,OUHSC-Bird Library
HSC-PH,HSC Pharmacy Building
HSC-RP,HSC Conference Center Research Parkway
INSC,Insectary (064)
JFH,Jacobson Faculty Hall (011)
KF,Kiln Facility (0236)
KH,Kaufman Hall (067)
LAW,Law Center (200)
LCWH,Lissa and Cy Wagner Hall (051)
LIB,OUHSC Bird Library
LNC,Lloyd Noble Center (0247)
LSGR,Landscape Grounds (093)
MFPH,Michael F. Price Hall (050A)
MH,Monnett Hall (020)
MS,Model Shop (424)
N101,N.C. Building 101 (335)
N210,N.C. Building 210 (314)
N324,N.C. Building 324 (324)
N600,N.C. Building 600 (363)
N605,N.C. Building 605 (321)
NEL,Nuclear Engineering Lab (031)
NH,Nielsen Hall (057)
NML,Noble Microscopy Lab (063B)
NWC,National Weather Center (0292)
OFC,Old Faculty Club (001)
OKDC,OKC Design Center - Architecture
OMNH,Sam Noble Oklahoma Museum of Natural History (0205)
OMS,Oklahoma Memorial Stadium (066)
OMU,Oklahoma Memorial Union (021)
PHSC,Physical Science Center (018)
POOL,Swim Complex (0137)
PP,Physical Plant Office (023)
PWYS,Parkways (417)
REPF,Rawls Engr Practice Facility (034)
RH,Richards Hall (058)
RH A,Richards Hall Annex (058A)
RIL,RADAR INNOVATIONS LAB (299)
ROBT,Roberston Hall (056A)
RPAC,Reynolds Performing Arts Center (010)
S134,S.C. Building 134 (0228)
S158,S.C. Building 158 (212)
S4,S.C. Building 4 (0209)
SCI,Science Hall (029)
SEC,Sarkeys Energy Center (008)
SJSC,S.J. Sarkeys Center (0103)
SLH,Savoie Lottinville Hall (051)
SLSC,Stephenson Life Sci Research (290)
SRTC,Stephenson Research Center (0291)
SUT,Sutton Hall (028)
TB2/3,North Campus Aviation Complex (368)
URP655,University Research Park 655
URP825,University Research Park 825
URP865,University Research Park 865
WC,Walker Center Dormitory (0100)
WHIT,Whitehand Hall (003)
Z413,OUHSC
ZH,Zarrow Hall (37)
